콘텐츠ID,콘텐츠명_IPS,콘텐츠명_판매채널조회,콘텐츠형태,귀속법인,서비스유형,작가필명,등급,장르,세부장르,담당부서,담당자명,판매채널콘텐츠_전체,지급정산관리_존재_채널수,정산정보없음_채널수,사용안함_채널수,콘텐츠단위_rename_위험,권장조치
112608,동방의 혼,동방의 혼,소설,키다리스튜디오,단행본,광무,비성인,,무협,소설편집팀,이선근,2,0,2,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
112620,동정남과 음란녀,동정남과 음란녀,소설,키다리스튜디오,단행본,시나브로,성인,,일반서,소설편집팀,이선근,1,0,1,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
112621,동정에 대한 기억,동정에 대한 기억,소설,키다리스튜디오,단행본,공작왕,성인,,성인물,소설편집팀,이선근,1,0,1,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
112686,디케의 심장,디케의 심장,소설,키다리스튜디오,단행본,정(情),비성인,,현대로맨스,소설편집팀,이선근,1,0,1,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
112711,뜨겁고 강렬하게,뜨겁고 강렬하게,소설,키다리스튜디오,단행본,"세리,지혜인",성인,,"현대로맨스,로맨스",패밀리케어팀,남단미,2,0,2,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
112812,리스트 컷 세트,리스트 컷 세트,소설,키다리스튜디오,단행본,밤디,성인,여성향,BL,봄툰소설편집팀,허은지,1,0,1,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
112815,리아의 계약,리아의 계약,소설,키다리스튜디오,단행본,박윤후,비성인,여성향,현대로맨스,소설2팀,김인희,1,0,1,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
112849,마도일대기,마도일대기,소설,키다리스튜디오,단행본,고월,비성인,,무협,소설편집팀,이선근,2,0,2,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
112914,마황,마황,소설,키다리스튜디오,단행본,"김능하,김능하, 김영",비성인,남성향,무협,소설편집팀,이선근,7,0,7,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
112918,만강홍,만강홍,소설,키다리스튜디오,단행본,독고홍,비성인,남성향,무협,소설편집팀,이선근,6,0,6,0,N,IPS rename 후보 가능: 그래도 판매채널 단위 확인 필요
